#Timemin,   Data,   Theory,   NormData_
0,   0.370370000,   0.998942308,   1.000000000
5,   0.359761382,   0.990390419,   0.971356704
10,   0.360329215,   0.982144402,   0.972889852
15,   0.350907795,   0.974193317,   0.947451993
20,   0.352020590,   0.966526616,   0.950456543
25,   0.361549489,   0.959134126,   0.976184595
30,   0.344697144,   0.952006041,   0.930683219
35,   0.339200721,   0.945132903,   0.915842863
40,   0.350650807,   0.938505595,   0.946758125
45,   0.343511344,   0.932115322,   0.927481555
50,   0.342229270,   0.925953608,   0.924019952
55,   0.340747381,   0.920012278,   0.920018847
60,   0.333072572,   0.914283449,   0.899296844
65,   0.335528355,   0.908759520,   0.905927465
70,   0.343956650,   0.903433164,   0.928683883
75,   0.328623527,   0.898297314,   0.887284410
80,   0.336764642,   0.893345155,   0.909265443
85,   0.332811178,   0.888570119,   0.898591080
90,   0.327963500,   0.883965869,   0.885502335
95,   0.323275642,   0.879526298,   0.872845107
100,   0.331788502,   0.875245516,   0.895829852
105,   0.322348426,   0.871117842,   0.870341619
110,   0.319639934,   0.867137801,   0.863028685
115,   0.320872635,   0.863300113,   0.866356980
120,   0.329050976,   0.859599686,   0.888438523
125,   0.315739357,   0.856031611,   0.852497117
130,   0.316885213,   0.852591153,   0.855590931
135,   0.317417256,   0.849273750,   0.857027449
140,   0.316071061,   0.846074998,   0.853392718
145,   0.317069168,   0.842990655,   0.856087611
150,   0.313835017,   0.840016629,   0.847355393
155,   0.312107312,   0.837148973,   0.842690585
160,   0.306743939,   0.834383884,   0.828209463
165,   0.305416745,   0.831717692,   0.824626035
170,   0.296473315,   0.829146861,   0.800478751
175,   0.306850011,   0.826667980,   0.828495858
180,   0.302732263,   0.824277761,   0.817377927
185,   0.307280775,   0.821973031,   0.829658921
190,   0.297418586,   0.819750734,   0.803030985
195,   0.310181489,   0.817607921,   0.837490857
200,   0.300946796,   0.815541749,   0.812557163
200,   NaN,           0.810000000,   0.808948482
230,   NaN,           0.828239284,   0.816282796
260,   NaN,           0.844727666,   0.827433714
290,   NaN,           0.859633225,   0.863662099
320,   NaN,           0.873107907,   0.857755460
350,   NaN,           0.885289070,   0.888615679
380,   NaN,   ,   0.896300887,   0.887953311
410,   NaN ,           0.906255611,   0.887022053
440,   NaN,   ,   0.915254720,   0.908413382
470     NaN,   ,   0.923389947,   0.904479393
500,   NaN,   ,   0.930744224,   0.921911337
530,   NaN,   ,   0.937392517,   0.931903985
560     NaN     ,   0.943402600,   0.929246924
590,   NaN,   ,   0.948835737,   0.933263259
620,   NaN,   ,   0.953747314,   0.932523715
650,   NaN,   ,   0.958187397,   0.948068277
680,   NaN,   ,   0.962201250,   0.959607550
