#Timemin,   Data,   Theory,   NormData
0,   0.264800000,   1.000380228,   1.000000000
5,   0.258881776,   0.980157127,   0.977650212
10,   0.258899262,   0.961121355,   0.977716247
15,   0.246692237,   0.943203202,   0.931617210
20,   0.240727133,   0.926337050,   0.909090382
25,   0.239726159,   0.910461136,   0.905310268
30,   0.235769546,   0.895517321,   0.890368375
35,   0.237271465,   0.881450879,   0.896040276
40,   0.230375159,   0.868210300,   0.869996824
45,   0.223016603,   0.855747095,   0.842207716
50,   0.225761192,   0.844015623,   0.852572476
55,   0.220041477,   0.832972924,   0.830972346
60,   0.216978173,   0.822578558,   0.819403978
65,   0.211599457,   0.812794462,   0.799091606
70,   0.208484426,   0.803584804,   0.787327892
75,   0.209500593,   0.794915859,   0.791165381
80,   0.208397258,   0.786755881,   0.786998709
85,   0.201776086,   0.779074988,   0.761994284
90,   0.208443079,   0.771845051,   0.787171748
95,   0.202751184,   0.765039595,   0.765676675
100,   0.203860558,   0.758633698,   0.769866157
105,   0.202219927,   0.752603901,   0.763670420
110,   0.199320005,   0.746928122,   0.752719051
115,   0.198625014,   0.741585576,   0.750094463
120,   0.197689504,   0.736556700,   0.746561570
125,   0.193912130,   0.731823076,   0.732296565
130,   0.193390609,   0.727367370,   0.730327072
135,   0.192385305,   0.723173266,   0.726530609
140,   0.192745560,   0.719225404,   0.727891087
145,   0.193927902,   0.715509327,   0.732356126
150,   0.185924191,   0.712011426,   0.702130630
155,   0.190629112,   0.708718893,   0.719898460
160,   0.187588209,   0.705619669,   0.708414687
165,   0.185729025,   0.702702405,   0.701393598
170,   0.188818355,   0.699956418,   0.713060251
175,   0.179687227,   0.697371652,   0.678577143
180,   0.185959244,   0.694938642,   0.702263004
185,   0.182766509,   0.692648477,   0.690205848
190,   0.175987370,   0.690492771,   0.664604872
195,   0.182120949,   0.688463630,   0.687767935
200,   0.185548154,   0.686553623,   0.700710550
200,   NaN,   ,   0.700000000,   0.711595111
230,   NaN,   ,   0.729025297,   0.731655985
260,   NaN,   ,   0.755242367,   0.734637799
290,   NaN,   ,   0.778922911,   0.781776451
320,   NaN,   ,   0.800312338,   0.778563557
350,   NaN,   ,   0.819632317,   0.811504117
380,   NaN,   ,   0.837083068,   0.837274608
410,   NaN,   ,   0.852845443,   0.841659968
440 ,   NaN,   ,   0.867082792,   0.848084065
470,   NaN,   ,   0.879942663,   0.864659100
500,   NaN,   ,   0.891558329,   0.866709563
530,   NaN,   ,   0.902050168,   0.875671597
560,   NaN,   ,   0.911526911,   0.891623173
590,   NaN,   ,   0.920086770,   0.904704184
620,   NaN,   ,   0.927818454,   0.905151278
650,   NaN,   ,   0.934802090,   0.909124869
680,   NaN,   ,   0.941110052,   0.920184592
